id,customer_state,customer_account_duration,customer_area_code,has_international_plan,has_voice_mail_plan,voice_mail_message_count,daytime_total_minutes,daytime_total_calls,daytime_total_charges,evening_total_minutes,evening_total_calls,evening_total_charges,nighttime_total_minutes,nighttime_total_calls,nighttime_total_charges,intl_total_minutes,intl_total_calls,intl_total_charges,customer_service_call_count,churn
778,IL,84.0,area_code_510,no,False,0.0,,,88.8,,112.0,11.34,188.2,118.0,8.56,8.5,4.0,2.3,1.0,0
779,ND,,408,0,False,0.0,181.7,99.0,29.65,,117.0,31.28,225.2,,9.36,14.2,,3.83,,0
780,OH,107.0,area_code_415,FALSE,True,,156.7,123.0,27.47,197.1,103.0,16.62,253.7,103.0,,13.7,3.0,3.7,1.0,0
781,UNKNOWN,,,No,True,31.0,,71.0,42.67,208.7,58.0,17.78,229.2,115.0,10.83,7.7,4.0,2.08,3.0,0
782,UNKNOWN,108.0,area_code_408,false,True,35.0,,106.0,37.73,195.8,107.0,17.53,197.8,,9.04,15.5,7.0,,0.0,0
783,UNKNOWN,30.0,area_code_415,0,True,30.0,222.8,74.0,38.9,455.7,86.0,41.05,514.3,104.0,24.21,6.6,3.0,1.78,0.0,0
784,UNKNOWN,82.0,area_code_415,,False,0.0,136.1,110.0,21.55,386.7,,,175.0,105.0,7.84,,4.0,,0.0,0
785,IL,57.0,area_415,0,True,30.0,,105.0,31.09,288.3,,24.57,225.4,77.0,10.47,14.7,5.0,3.97,,0
786,NC,128.0,area_code_510,FALSE,False,0.0,177.3,84.0,31.71,281.2,95.0,22.93,,,9.25,10.1,5.0,2.73,,0
787,TX,145.0,area_code_510,FALSE,False,0.0,167.6,120.0,26.33,624.5,145.0,49.73,394.9,140.0,,6.2,6.0,1.67,2.0,0
788,VT,74.0,415,,True,24.0,129.4,,19.84,,,21.27,,108.0,6.63,11.5,6.0,3.11,3.0,0
789,UNKNOWN,,,No,False,0.0,161.7,137.0,30.21,475.2,107.0,42.1,515.4,106.0,24.21,15.5,4.0,4.19,0.0,0
790,HI,40.0,area_code_415,YES,True,21.0,139.9,117.0,25.53,533.6,,43.81,201.2,,9.26,10.9,5.0,,0.0,0
791,UNKNOWN,142.0,area_code_510,FALSE,False,0.0,,102.0,39.41,168.3,110.0,14.28,194.5,120.0,8.87,,3.0,2.67,5.0,0
792,UNKNOWN,103.0,,,,0.0,140.5,90.0,21.48,232.8,70.0,19.1,,120.0,9.14,,2.0,3.38,5.0,1
793,NC,43.0,area_code_415,0,False,0.0,79.5,134.0,14.25,,103.0,6.84,376.7,79.0,16.93,,2.0,2.92,,0
794,LA,51.0,area_code_510,false,True,24.0,174.8,76.0,29.8,,64.0,21.06,197.4,108.0,8.65,15.1,3.0,,,0
795,NC,88.0,area_code_408,FALSE,True,27.0,89.4,106.0,15.82,,,21.33,188.2,104.0,8.47,10.9,1.0,2.94,1.0,0
796,CT,90.0,415,,False,,168.1,111.0,30.04,273.0,115.0,24.36,148.7,122.0,6.82,13.0,,,3.0,0
797,CA,,,false,True,,347.6,108.0,67.06,237.6,119.0,23.29,324.3,,,8.3,,2.24,,1
798,MD,93.0,area_code_408,1,False,0.0,,,50.32,,100.0,10.44,382.4,,16.13,10.5,2.0,,0.0,1
799,WV,43.0,area_code_408,NO,False,0.0,222.2,147.0,41.28,344.8,121.0,,127.3,100.0,6.1,,,2.48,0.0,0
800,WI,165.0,area_code_408,NO,False,,,88.0,,,81.0,23.44,179.2,94.0,7.91,9.3,5.0,2.51,2.0,0
801,MT,117.0,area_code_510,FALSE,False,0.0,170.6,134.0,31.19,205.1,96.0,18.7,224.1,122.0,10.16,10.6,6.0,2.86,,1
802,NC,118.0,area_code_408,,True,,162.4,106.0,26.05,117.4,111.0,,340.8,103.0,14.94,9.2,6.0,2.48,,0
803,UNKNOWN,127.0,408,no,False,,518.6,124.0,,335.4,110.0,29.41,184.1,116.0,,9.3,3.0,2.51,1.0,0
804,WI,113.0,area_415,False,False,0.0,,90.0,21.39,202.9,92.0,17.47,213.5,,,,1.0,3.46,,0
805,NC,155.0,,FALSE,False,0.0,568.1,55.0,94.62,343.3,113.0,,,,6.56,,6.0,2.24,2.0,0
806,CO,49.0,area_code_415,FALSE,False,0.0,174.8,142.0,31.11,230.0,100.0,20.26,173.5,86.0,8.49,7.4,1.0,2.0,0.0,0
807,OR,70.0,area_415,False,False,0.0,,98.0,56.1,199.1,113.0,15.62,170.3,126.0,,15.0,6.0,4.05,1.0,0
808,FL,90.0,415,,True,,74.2,82.0,11.2,175.9,,14.29,187.5,111.0,,12.9,1.0,3.48,1.0,0
809,OH,,area_code_415,NO,False,0.0,,76.0,41.61,,100.0,6.56,225.9,102.0,10.03,,3.0,2.7,,0
810,UNKNOWN,96.0,,0,,0.0,393.7,,68.45,,114.0,15.87,298.7,125.0,13.01,10.3,4.0,2.78,1.0,1
811,DC,29.0,area_code_510,no,False,0.0,176.8,92.0,31.83,173.5,91.0,15.76,202.5,128.0,9.55,7.2,2.0,1.94,2.0,0
812,AL,,area_408,0,False,0.0,176.0,,31.21,118.8,131.0,,255.9,70.0,11.45,11.8,,3.19,2.0,0
813,NV,105.0,415,1,False,0.0,229.6,100.0,42.2,149.3,,13.4,245.5,140.0,,7.7,,,0.0,0
814,NV,113.0,,No,False,0.0,,108.0,45.32,,140.0,24.01,208.4,115.0,9.99,,2.0,2.89,3.0,1
815,UNKNOWN,139.0,area_code_415,FALSE,False,0.0,,103.0,24.98,166.6,100.0,,136.5,63.0,,8.3,2.0,2.24,5.0,0
816,MI,116.0,area_code_408,,False,,130.5,,24.14,526.0,126.0,45.82,218.6,78.0,10.51,11.3,5.0,3.05,,1
817,VT,,area_415,false,False,,,,43.48,266.0,,21.45,,105.0,9.04,8.5,10.0,2.3,,1
818,SC,103.0,area_code_415,,True,30.0,268.6,75.0,,,,,189.7,109.0,7.58,,2.0,1.78,2.0,0
819,UNKNOWN,89.0,408,False,False,0.0,100.5,151.0,17.93,,142.0,16.06,172.3,67.0,,12.7,7.0,3.43,,0
820,VA,105.0,,No,False,,,96.0,39.79,180.7,97.0,13.44,,,9.04,,5.0,3.24,3.0,0
821,UNKNOWN,94.0,area_code_510,NO,False,,294.8,,51.81,140.0,111.0,12.4,249.4,,11.58,12.6,5.0,3.4,1.0,0
822,ID,99.0,area_408,NO,,,187.3,102.0,30.46,156.2,107.0,,,92.0,11.5,11.2,,3.02,2.0,0
823,DC,217.0,area_code_415,No,False,0.0,,138.0,20.56,257.6,105.0,,491.7,,22.62,13.3,,3.59,1.0,0
824,AL,91.0,,FALSE,,0.0,426.2,106.0,71.13,230.4,116.0,19.47,252.0,,10.99,9.3,3.0,,1.0,1
825,TN,,,,False,0.0,,79.0,36.16,,106.0,,167.5,69.0,,11.5,7.0,,1.0,0
826,KY,91.0,415,True,False,0.0,,89.0,,361.7,102.0,33.98,,151.0,,16.7,3.0,4.51,2.0,1
827,UNKNOWN,102.0,408,NO,False,0.0,164.1,67.0,24.02,204.2,103.0,15.68,144.3,72.0,5.77,9.9,2.0,2.67,2.0,0
828,TN,110.0,area_code_510,NO,False,0.0,,100.0,36.75,290.7,76.0,23.27,,107.0,10.56,13.5,9.0,,1.0,1
829,FL,116.0,,,False,,,123.0,23.04,174.6,113.0,13.9,210.0,102.0,8.86,7.8,5.0,2.11,1.0,0
830,UNKNOWN,,area_code_408,False,,38.0,594.5,122.0,,,97.0,,132.7,87.0,6.34,10.5,3.0,2.84,,0
831,MT,60.0,area_code_408,No,False,,,97.0,43.64,226.4,121.0,19.09,111.0,100.0,5.03,12.4,4.0,3.35,,0
832,UNKNOWN,141.0,area_code_510,FALSE,True,,,123.0,51.73,262.7,128.0,20.8,149.8,103.0,,7.4,3.0,,1.0,0
833,UNKNOWN,104.0,area_code_415,No,False,0.0,281.6,75.0,44.93,341.8,111.0,27.79,178.5,99.0,,10.5,2.0,2.84,,0
834,UNKNOWN,,area_code_408,FALSE,False,,237.7,126.0,41.98,157.2,,13.24,317.0,115.0,14.59,11.8,6.0,3.19,2.0,0
835,WV,36.0,area_code_510,False,False,0.0,185.0,69.0,31.51,,98.0,13.88,206.8,68.0,9.89,9.5,2.0,,0.0,0
836,RI,101.0,,True,True,35.0,182.7,88.0,33.66,,,20.69,,103.0,10.72,,3.0,,,0
837,NJ,139.0,,no,False,0.0,64.6,116.0,10.01,187.5,113.0,,171.5,82.0,7.18,14.2,4.0,3.83,1.0,0
838,CO,156.0,408,TRUE,False,,437.3,119.0,80.87,236.0,,21.56,94.4,,4.52,,,,6.0,0
839,NH,54.0,area_code_510,,False,0.0,401.2,102.0,60.51,200.7,83.0,,125.1,53.0,5.35,8.5,5.0,,1.0,0
840,ID,140.0,area_510,NO,False,0.0,,82.0,30.89,248.8,,20.82,244.8,93.0,10.22,13.3,5.0,3.59,2.0,0
841,OH,86.0,408,,True,26.0,143.8,120.0,24.02,138.1,,11.44,197.4,94.0,,13.3,5.0,,1.0,0
842,HI,111.0,,False,True,,,104.0,33.45,,98.0,,231.2,,10.42,12.1,4.0,,,0
843,WV,176.0,area_code_415,0,False,,164.4,97.0,29.16,,107.0,20.43,487.1,92.0,23.21,11.3,4.0,3.05,3.0,0
844,AK,91.0,area_510,0,False,0.0,189.1,,35.22,198.7,89.0,18.06,285.2,128.0,,15.3,,4.13,1.0,0
845,UNKNOWN,118.0,area_code_510,,False,,209.4,115.0,33.7,193.8,137.0,,423.7,115.0,18.36,,6.0,1.89,0.0,0
846,NV,134.0,area_415,0,False,0.0,499.6,107.0,86.95,202.0,86.0,19.01,199.0,125.0,9.73,8.3,5.0,2.24,,0
847,OK,123.0,area_415,FALSE,True,,,127.0,45.93,252.1,105.0,,409.1,124.0,17.22,12.5,5.0,3.38,,0
848,WV,145.0,,0,False,0.0,128.3,,23.21,,101.0,16.63,202.2,,9.72,1.1,2.0,0.3,,0
849,UNKNOWN,45.0,area_code_510,NO,False,0.0,205.2,91.0,36.64,,86.0,,163.0,93.0,7.47,10.6,3.0,2.86,2.0,0
850,PA,90.0,area_code_408,,False,0.0,262.2,97.0,47.87,140.6,46.0,11.81,211.1,121.0,9.57,9.1,4.0,2.46,,0
851,TX,52.0,,0,False,0.0,154.2,110.0,,,104.0,,173.8,84.0,,7.0,4.0,,4.0,1
852,WV,32.0,area_code_408,False,True,26.0,259.9,109.0,47.84,,107.0,42.2,213.2,,10.11,,4.0,,,0
853,GA,194.0,area_code_510,,False,,632.4,106.0,,177.8,150.0,15.63,220.7,122.0,11.02,11.8,4.0,3.19,0.0,0
854,CT,,area_code_415,no,False,0.0,212.2,,36.78,230.6,91.0,20.7,284.0,,12.65,12.1,9.0,3.27,2.0,0
855,WV,124.0,,No,False,,,,33.15,183.0,84.0,15.7,155.5,95.0,7.51,10.5,6.0,,1.0,0
856,TN,,area_code_408,No,,0.0,163.0,83.0,26.19,48.1,102.0,3.93,164.0,92.0,7.07,,,3.08,,0
857,TN,110.0,area_code_415,0,False,0.0,235.2,,37.89,165.7,96.0,,373.5,57.0,,11.7,,3.16,1.0,0
858,UNKNOWN,,area_code_510,Yes,False,0.0,137.3,103.0,25.11,298.8,93.0,25.48,240.2,,10.99,11.0,,,4.0,1
859,MT,42.0,area_code_415,No,False,,,52.0,26.03,,96.0,21.3,104.2,118.0,4.74,7.0,,1.89,2.0,0
860,UNKNOWN,60.0,510,0,False,,234.0,99.0,38.64,230.9,131.0,18.44,220.8,,,,6.0,4.08,2.0,0
861,MI,86.0,,No,False,0.0,145.3,71.0,26.84,,91.0,25.82,415.1,,20.24,6.2,3.0,,4.0,0
862,MI,,415,,False,,152.8,,27.06,168.8,98.0,15.57,,97.0,,17.9,3.0,4.83,7.0,1
863,NM,105.0,area_code_408,0,False,0.0,,,24.05,,80.0,18.48,438.4,117.0,19.32,,2.0,2.3,1.0,0
864,WY,,408,No,False,0.0,244.7,115.0,43.61,,,17.21,116.3,93.0,5.59,,5.0,3.62,,0
865,ME,173.0,,False,False,,,108.0,21.77,,92.0,21.03,132.4,,5.83,10.4,2.0,2.81,4.0,1
866,NH,161.0,area_code_415,False,False,0.0,171.1,100.0,27.44,207.6,74.0,16.91,139.1,69.0,,11.5,4.0,3.11,1.0,0
867,ID,224.0,area_code_510,False,False,0.0,,133.0,17.82,170.9,,14.0,221.6,,,5.5,6.0,1.49,3.0,0
868,UNKNOWN,58.0,area_code_415,False,True,28.0,,89.0,43.76,,91.0,14.63,215.6,97.0,10.38,8.0,3.0,2.16,5.0,0
869,MA,80.0,area_code_408,0,False,,,106.0,23.4,208.8,65.0,16.6,204.6,86.0,,10.0,2.0,2.7,2.0,0
870,OR,59.0,area_code_408,0,True,28.0,119.0,97.0,,,92.0,34.23,162.0,116.0,6.98,8.5,5.0,2.3,2.0,0
871,UNKNOWN,176.0,area_code_415,FALSE,False,0.0,,108.0,46.65,440.8,100.0,,,85.0,,,6.0,,2.0,0
872,UT,190.0,,,True,,,93.0,80.31,183.6,92.0,16.89,121.9,102.0,,8.5,3.0,2.3,0.0,0
873,UNKNOWN,33.0,415,,,0.0,217.9,77.0,41.62,474.9,102.0,40.79,222.5,119.0,,7.5,,,,0
874,IN,100.0,area_code_415,FALSE,True,,,104.0,33.85,164.4,144.0,,272.6,117.0,10.93,12.1,,,6.0,0
875,CO,63.0,415,False,True,,31.8,,5.59,194.0,113.0,16.92,,101.0,11.06,8.6,7.0,2.32,,0
876,UNKNOWN,56.0,area_code_415,false,True,24.0,124.2,87.0,19.26,191.2,76.0,,269.3,98.0,11.17,12.7,3.0,3.43,1.0,0
877,UNKNOWN,90.0,,false,False,0.0,,91.0,10.41,,94.0,16.5,,80.0,6.43,11.4,9.0,3.08,6.0,0
878,SC,,,,False,0.0,,92.0,31.98,374.1,110.0,28.06,184.5,,7.53,13.1,,3.54,4.0,0
879,KS,70.0,area_code_415,FALSE,False,0.0,,128.0,59.4,287.3,105.0,,200.9,93.0,9.65,5.7,7.0,1.54,,1
880,NC,125.0,,False,False,0.0,211.0,89.0,35.95,,127.0,27.89,189.4,73.0,8.38,11.3,,3.05,,0
881,UNKNOWN,16.0,area_code_510,0,False,0.0,,84.0,90.81,,141.0,28.02,230.4,75.0,10.07,8.2,4.0,2.21,2.0,0
882,NM,,area_code_408,No,False,0.0,111.4,111.0,17.72,168.2,,13.71,210.3,,9.06,9.7,3.0,2.62,1.0,0
883,MN,141.0,area_code_408,No,False,,80.9,123.0,12.16,147.9,,11.28,74.0,65.0,,5.7,7.0,1.54,,0
884,UNKNOWN,106.0,area_code_415,0,False,0.0,,90.0,,191.7,101.0,18.41,407.6,95.0,19.69,8.0,,2.16,2.0,0
885,RI,63.0,area_code_415,True,False,0.0,,112.0,11.69,196.9,111.0,18.87,260.1,58.0,12.75,8.9,8.0,,1.0,0
886,ID,65.0,area_code_408,0,True,19.0,254.3,96.0,41.43,314.9,106.0,,,95.0,8.47,7.5,,2.03,1.0,0
887,VT,46.0,408,NO,False,0.0,,85.0,,205.8,74.0,,,112.0,9.16,,5.0,3.02,5.0,0
888,CO,71.0,area_code_415,,False,,203.7,70.0,38.2,455.7,,43.62,227.0,,10.81,12.3,3.0,3.32,0.0,0
889,MA,,,0,False,0.0,121.6,,18.74,,,11.37,202.7,65.0,,8.8,5.0,,2.0,0
890,ID,,area_code_415,NO,False,0.0,,81.0,,,116.0,19.68,238.1,117.0,,,9.0,3.46,0.0,1
891,WV,80.0,area_code_415,0,True,38.0,242.9,69.0,,209.0,68.0,,211.1,102.0,9.95,9.5,,2.57,,0
892,PA,137.0,area_code_415,NO,,25.0,182.5,88.0,,,118.0,,256.3,103.0,11.91,12.2,,,3.0,0
893,OH,,408,0,False,,,106.0,31.6,214.7,,17.82,477.1,87.0,,,,2.51,7.0,0
894,SC,,,NO,False,0.0,,,21.63,417.2,96.0,32.59,222.5,,9.25,9.5,5.0,2.57,,0
895,GA,185.0,area_510,FALSE,True,31.0,201.6,,,,133.0,15.09,261.9,126.0,12.96,7.5,3.0,2.03,1.0,0
896,CT,80.0,,,False,0.0,117.9,,20.18,152.7,77.0,12.33,221.0,86.0,10.18,8.2,6.0,,,0
897,NV,105.0,area_code_408,,False,0.0,,103.0,18.14,136.8,,12.97,138.1,106.0,6.86,,,,1.0,0
898,WI,75.0,area_415,,,,193.3,,31.38,202.5,103.0,16.86,102.7,90.0,,,3.0,,2.0,0
899,LA,75.0,,true,False,0.0,151.9,78.0,25.47,,99.0,35.22,155.6,100.0,6.76,7.8,3.0,2.11,1.0,0
900,MN,,area_code_408,No,False,0.0,169.2,138.0,25.4,157.5,109.0,12.03,206.3,118.0,8.68,11.5,4.0,3.11,0.0,0
901,WA,171.0,415,0,False,0.0,239.8,101.0,37.43,192.1,80.0,14.65,445.2,,,9.5,,2.57,,0
902,UNKNOWN,163.0,area_code_510,false,True,,,104.0,27.63,,,16.36,230.2,,,10.4,7.0,2.81,1.0,0
903,MD,101.0,408,No,False,0.0,151.2,71.0,25.07,,122.0,19.92,225.2,97.0,9.78,5.8,1.0,1.57,1.0,0
904,DE,,area_415,0,False,,287.1,,49.3,223.0,82.0,,332.4,87.0,15.5,4.8,2.0,,3.0,1
905,WV,,area_code_408,FALSE,False,0.0,189.2,87.0,32.8,163.0,103.0,15.44,,,,12.1,,,4.0,0
906,MA,,,0,True,27.0,293.3,125.0,,139.3,108.0,,210.6,,8.96,7.8,4.0,2.11,,0
907,IA,120.0,,0,True,33.0,288.2,83.0,51.83,,84.0,14.14,149.4,88.0,6.72,11.6,5.0,3.13,0.0,0
908,MA,160.0,,,False,,445.4,109.0,74.12,368.7,,27.79,302.0,,12.82,9.3,1.0,2.51,1.0,0
909,TX,73.0,,No,False,0.0,260.8,90.0,41.93,,88.0,,193.6,74.0,8.46,13.0,,3.51,1.0,0
910,ID,,area_510,FALSE,False,0.0,,68.0,22.53,224.3,109.0,,124.4,96.0,5.23,13.6,4.0,,,0
911,FL,100.0,415,0,False,,310.3,93.0,47.68,174.1,89.0,13.82,,,5.63,10.4,5.0,2.81,4.0,1
912,WI,116.0,area_code_408,No,False,,,,25.88,191.7,90.0,16.22,413.1,96.0,,11.1,,,,0
913,OR,,area_code_415,0,True,33.0,311.9,103.0,49.45,426.9,96.0,35.18,251.7,100.0,10.69,,4.0,4.19,,0
914,AR,32.0,,True,False,0.0,252.2,75.0,45.27,282.8,,25.07,171.7,,,14.8,6.0,4.0,2.0,1
915,CT,94.0,area_code_415,false,False,,,,70.34,,116.0,11.01,534.1,109.0,24.12,10.4,5.0,,,0
916,WV,44.0,510,False,False,,,121.0,55.92,,,24.79,285.0,,13.28,9.9,5.0,2.67,2.0,1
917,NC,54.0,area_code_408,,False,0.0,,94.0,33.83,325.8,,26.08,160.8,99.0,7.29,10.1,,2.73,,0
918,WV,111.0,,No,,0.0,,108.0,30.77,211.3,106.0,18.33,235.2,90.0,11.34,10.7,4.0,2.89,3.0,0
919,UNKNOWN,112.0,area_code_415,True,True,16.0,190.6,72.0,33.3,,91.0,30.32,153.2,92.0,6.65,10.4,,2.81,1.0,0
920,TX,104.0,510,0,False,0.0,111.0,105.0,18.55,,121.0,41.93,447.3,108.0,,10.1,5.0,2.73,,0
921,MN,38.0,area_code_510,0,,0.0,186.6,109.0,27.45,205.9,97.0,16.54,135.3,,5.71,9.2,,,,1
922,UNKNOWN,89.0,area_code_408,False,False,,203.3,83.0,35.8,168.4,,15.25,173.3,,,,,1.65,0.0,0
923,ID,60.0,area_code_510,0,False,0.0,,106.0,35.37,183.9,48.0,14.28,205.5,90.0,8.58,7.4,3.0,2.0,1.0,0
924,WI,154.0,area_code_510,0,,,,97.0,16.05,,,15.13,232.5,99.0,10.35,9.2,,2.48,,0
925,NV,71.0,area_code_415,True,False,0.0,169.7,,32.92,165.7,94.0,15.5,181.2,,,13.6,3.0,3.67,3.0,1
926,MN,178.0,area_code_510,no,False,0.0,232.0,104.0,35.22,117.5,90.0,8.65,136.9,109.0,5.54,,5.0,,,1
927,OR,65.0,area_code_408,true,False,0.0,57.5,74.0,8.86,,93.0,,447.9,91.0,19.02,13.4,5.0,3.62,,1
928,CA,142.0,area_code_415,False,False,0.0,113.1,,20.21,156.1,,13.73,193.8,84.0,9.77,9.0,,2.43,,0
929,GA,100.0,,0,False,0.0,218.6,124.0,40.46,331.5,,31.53,189.2,52.0,9.29,11.0,6.0,2.97,,0
930,OR,88.0,area_code_408,NO,,0.0,182.1,96.0,31.13,182.6,92.0,,174.9,,7.43,8.8,6.0,2.38,2.0,0
931,NV,53.0,area_code_415,No,False,0.0,171.4,97.0,,211.4,87.0,20.36,,113.0,,10.9,2.0,2.94,,0
932,NY,106.0,area_code_408,0,False,0.0,151.7,74.0,27.43,64.8,139.0,5.56,201.0,103.0,9.08,10.2,4.0,,,0
933,UNKNOWN,43.0,area_code_415,No,False,,246.9,101.0,40.23,316.5,121.0,,270.0,104.0,11.66,5.9,,1.59,1.0,0
934,UNKNOWN,83.0,area_408,No,False,,,96.0,,172.9,78.0,13.46,159.8,123.0,,7.7,5.0,2.08,3.0,0
935,UNKNOWN,67.0,,0,,36.0,288.9,111.0,50.84,444.6,94.0,38.64,172.9,103.0,7.78,9.9,,2.67,2.0,0
936,UNKNOWN,87.0,area_code_510,0,False,,185.0,113.0,29.34,,100.0,,218.8,93.0,9.09,,3.0,,5.0,0
937,VA,,area_code_510,No,False,,,,60.48,313.4,94.0,25.27,,,,12.7,7.0,,,0
938,HI,137.0,area_code_510,0,True,,367.9,91.0,65.2,127.6,,11.16,147.0,98.0,6.71,12.7,,,,0
939,ME,75.0,area_408,,False,0.0,,61.0,35.78,,119.0,8.94,174.0,,7.89,9.7,4.0,,4.0,1
940,HI,115.0,,false,True,,,,25.11,205.2,,16.84,244.9,138.0,11.1,14.2,3.0,3.83,,0
941,GA,70.0,area_code_415,False,True,20.0,,110.0,42.55,176.0,111.0,16.41,207.6,38.0,10.09,11.9,2.0,3.21,0.0,0
942,UNKNOWN,59.0,area_408,No,,0.0,141.8,95.0,23.95,236.4,81.0,18.75,243.7,87.0,,9.6,5.0,2.59,5.0,0
943,MI,73.0,408,0,True,19.0,330.6,108.0,57.54,90.2,90.0,8.48,235.7,,11.25,14.9,4.0,,,0
944,IN,76.0,,0,True,35.0,285.7,,42.37,159.5,,11.86,258.1,,10.62,3.8,3.0,1.03,,0
945,HI,90.0,408,FALSE,False,0.0,,90.0,33.57,206.3,98.0,17.89,150.5,120.0,7.03,,9.0,2.73,4.0,0
946,VA,182.0,area_code_408,false,True,24.0,,73.0,51.45,130.6,85.0,10.21,403.2,79.0,16.25,10.9,7.0,2.94,0.0,0
947,GA,131.0,,false,False,,202.8,79.0,36.42,198.1,114.0,18.58,153.4,,,11.6,,3.13,,0
948,NY,138.0,area_415,True,,0.0,407.9,,71.17,164.2,120.0,14.77,72.6,,,,0.0,,3.0,1
949,NJ,87.0,area_510,No,False,,435.7,109.0,71.62,131.5,,,443.7,83.0,,,4.0,3.92,5.0,0
950,NH,74.0,area_510,NO,False,0.0,376.4,71.0,60.51,269.1,105.0,20.76,230.8,99.0,9.86,13.9,4.0,3.75,0.0,0
951,KY,53.0,area_510,NO,False,0.0,171.8,75.0,31.97,,,20.92,188.3,84.0,9.24,9.7,6.0,,1.0,0
952,UNKNOWN,139.0,area_code_510,0,False,0.0,208.5,106.0,31.25,211.6,,,,125.0,8.0,10.2,2.0,2.75,5.0,1
953,TX,65.0,area_code_415,0,False,,206.9,89.0,,,101.0,19.8,,,20.48,6.6,4.0,1.78,,0
954,UNKNOWN,161.0,area_code_415,No,False,,331.8,67.0,57.54,313.8,97.0,27.46,163.2,128.0,7.35,5.4,,1.46,4.0,1
955,ID,89.0,,False,,15.0,,83.0,43.83,186.9,,,124.2,141.0,5.33,11.9,2.0,3.21,0.0,0
956,WV,105.0,,false,False,,97.0,83.0,18.21,186.8,83.0,17.38,210.7,113.0,,,,3.16,,0
957,AZ,,area_code_408,no,False,0.0,179.3,84.0,28.27,167.3,86.0,13.82,444.5,83.0,19.6,,,3.46,4.0,0
958,VA,99.0,area_code_408,No,False,0.0,133.4,121.0,20.01,,103.0,16.87,,85.0,,9.8,3.0,2.65,,0
959,MN,103.0,area_415,No,False,0.0,206.2,112.0,31.02,,90.0,3.32,178.4,124.0,7.41,12.4,5.0,,0.0,0
960,DE,139.0,,FALSE,False,0.0,135.7,110.0,24.87,313.2,,28.42,278.2,,12.88,,1.0,,0.0,0
961,NJ,113.0,area_code_408,False,False,0.0,140.1,72.0,20.89,242.4,107.0,,242.1,123.0,,6.9,6.0,1.86,5.0,0
962,FL,,area_code_415,0,False,0.0,259.6,106.0,41.95,271.1,,20.84,205.3,119.0,8.63,5.9,2.0,1.59,1.0,1
963,WV,115.0,area_code_510,1,False,0.0,,95.0,93.9,248.7,104.0,21.74,,121.0,20.05,15.3,6.0,,1.0,1
964,OR,61.0,,0,False,0.0,,76.0,37.85,230.2,108.0,17.52,129.7,122.0,,13.9,,3.75,,0
965,CA,84.0,,No,False,0.0,288.2,,52.33,202.2,90.0,18.9,154.2,103.0,7.76,10.4,4.0,2.81,0.0,1
966,VA,99.0,area_code_510,no,False,0.0,,78.0,,370.9,120.0,28.88,141.4,140.0,5.84,14.3,,,2.0,0
967,PA,134.0,area_code_408,,False,0.0,,122.0,35.55,247.0,155.0,20.82,178.5,107.0,8.21,5.0,9.0,,1.0,0
968,KY,122.0,area_code_408,0,True,27.0,264.3,,47.28,236.5,109.0,21.36,189.3,123.0,9.4,9.2,5.0,2.48,,0
969,VA,103.0,415,FALSE,False,0.0,223.6,103.0,35.05,,129.0,7.46,,,8.12,9.4,7.0,2.54,3.0,0
970,AL,197.0,area_code_415,YES,False,0.0,340.2,80.0,54.33,225.1,,18.67,175.3,95.0,7.74,13.7,5.0,,,1
971,UNKNOWN,113.0,415,No,False,0.0,212.9,151.0,32.42,,113.0,26.88,248.0,,,7.4,,2.0,,1
972,NJ,119.0,area_code_408,false,False,,,83.0,45.4,222.1,124.0,17.26,,42.0,,11.0,4.0,2.97,1.0,1
973,UNKNOWN,64.0,area_code_408,No,True,19.0,293.0,150.0,49.29,214.9,123.0,19.19,219.1,,9.82,7.5,2.0,2.03,1.0,0
974,DE,129.0,area_510,0,False,0.0,350.0,118.0,59.82,195.5,104.0,17.19,186.8,83.0,9.04,10.4,6.0,2.81,0.0,1
975,UNKNOWN,109.0,415,False,False,0.0,,58.0,32.91,144.6,115.0,,,105.0,12.71,13.1,1.0,3.54,2.0,0
976,OH,125.0,area_408,false,False,0.0,,95.0,,,113.0,13.4,193.3,69.0,8.66,8.1,3.0,2.19,,0
977,DE,75.0,area_code_510,,True,28.0,370.3,,65.26,163.4,,,171.8,,8.03,2.5,,0.68,1.0,0
978,UNKNOWN,,415,false,False,0.0,260.2,120.0,48.54,133.9,84.0,,169.0,63.0,8.01,,,3.54,,0
979,ID,42.0,area_code_415,,False,,88.5,,14.74,,120.0,,,73.0,5.47,,,3.54,1.0,0
980,ME,33.0,area_510,No,True,16.0,130.3,,21.19,252.4,140.0,20.88,233.2,,,12.1,2.0,3.27,0.0,0
981,ME,105.0,,False,False,0.0,,113.0,35.9,228.4,128.0,19.18,197.3,,8.68,8.9,7.0,2.4,3.0,0
982,NV,94.0,,No,False,0.0,,121.0,46.74,498.9,,45.65,467.0,123.0,22.82,10.9,5.0,2.94,1.0,0
983,TX,73.0,area_code_408,,False,0.0,515.3,,88.74,468.6,,39.98,218.9,,9.4,10.7,14.0,2.89,1.0,1
984,UNKNOWN,7.0,area_code_408,0,True,30.0,,114.0,40.91,162.7,116.0,15.31,,105.0,,,,2.92,,0
985,ND,62.0,area_510,No,False,0.0,187.4,107.0,30.68,,104.0,,201.3,88.0,8.44,13.2,4.0,3.56,,0
