ID,Post description
1933,"Kasus Monkeypox Pertama di Indonesia Terkonfirmasi

Kementerian Kesehatan memastikan satu warga negara Indonesia terkonfirmasi menderita monkeypox (cacar monyet). Pasien tersebut merupakan seorang laki-laki berusia 27 tahun, dengan riwayat perjalanan ke Belanda, Swiss, Belgia dan Perancis sebelum tertular.
 
Berdasarkan penelusuran, pasien berpergian ke luar negeri antara tanggal 22 Juli hingga tiba kembali di Jakarta pada 8 Agustus 2022. Pasien mulai mengalami gejala awal monkeypox di tanggal 11 Agustus 2022.

===========================
Information
🕒 Morning Monday to Saturday 8am-12pm
🕒 Afternoon Monday to Saturday 4pm-9pm
☎️ +62 818-0386-2021
📍 Jl. Mertanadi No.30, Kerobokan, Kuta, Badung, Bali
🌐 www.krishnamedika.com

#doctor 
#clinic 
#doctorseminyak 
#doctorhomevisite 
#doctorhousevisite 
#doctorkuta 
#doctorcanggu 
#doctorkerobokan 
#clinicseminyak 
#clinickerobokan 
#cliniccanggu 
#clinickuta
#doctorbali 
#clinicbali 
#clinicservices 
#monkeypox 
#monkeypoxvirus 
#cacarmonyet 
#penyebabcacarmonyet"
2767,"Repost @dinkesdki

Halo warga DKI Jakarta!

Monkeypox atau cacar monyet adalah penyakit yang disebabkan oleh virus monkeypox. Penyakit ini merupakan infeksi zoonosis virus, yang dapat menyebar dari hewan ke manusia dan menyebar antar manusia. Tapi sebetulnya, apa sih yang bisa menyebabkan seseorang tertular, apa gejalanya dan bagaimana cara mencegahnya? 

Dinas Kesehatan Provinsi DKI Jakarta hadir dalam Talkshow Kesehatan dengan tema:

“Kasus Monkeypox di DKI Jakarta, Apa yang Harus Diketahui dan Waspadai!”

Menghadirkan Narasumber Dokter Spesialis Kulit dan Kelamin, dr. Sammy Yahya, Sp.KK dari @rsudtarakanjakarta dengan dipandu Host dari Dinas Kesehatan Provinsi DKI Jakarta, Supriadi, SKM

🎥 Tayang LIVE Instagram:
@dinkesdki
@rsudtarakanjakarta

Yuk simak tanggal dan jam nya ya!
📆: Selasa, 30 Agustus 2022
⏰: 14.00 - 14.30 WIB

Acara ini akan rutin tiap minggunya loh, jangan sampai ketinggalan!

Sampai jumpa di IG LIVE @dinkesdki!

#TalkShowKesehatan #IGLive #monkeypox #cacarmonyet #virusmonkeypox #gejalacacarmonyet #informasikesehatan #DinasKesehatan #DKIJakarta

https://www.instagram.com/p/Ch1E_uiJ1mJ/?igshid=MDJmNzVkMjY="
7521,"‼️ KELOMPOK INI HARUS WASPADA ‼️ 

Semua orang memang berisiko terpapar virus cacar monyet. Tapi ternyata ada beberapa kelompok orang yang rentan tertular virus ini lho. Yuk cek siapa aja Sobat Sehat!

Jangan lupa untuk selalu menjaga daya tahan tubuh  yaa Sobat Sehat agar tetap sehat dan terlindungi dari paparan virus penyebab penyakit. Stay safe & healthy!

Berbagai produk kesehatan yang Anda butuhkan tersedia di Apotek K-24 & K24Klik. KOMPLIT 24 jam💛 💚

#cacarmonyet #monkeypox #mpox #infokesehatan #tipskesehatan #ApotekK24 #K24ApoteknyaIndonesia #SobatSehat #K244September24 #K24West4September24"
2104,"hai sahabat elon
mimin mau share info ni 
untuk bunda dan sahabat elon di rumah 
waspada yah dengan cacar monyet , karna penyakit ini sudah masuk ke indonesia
yuk pahami apa itu cacar monyet serta gejala dan penyegahannya 
salam sehat kita semua 
semoga sahabat elon sehat terus yah 
#cacarmonyet #monkeypox 
#cacar #tipskesehatan 
#kliniktangerang #dokterumum"
5622,"Mama Papa Hebat khawatir dengar berita tentang mpox? Benar, mpox bukan sekadar penyakit ringan. Yuk, kenali gejala, pencegahan, dan langkah yang bisa diambil untuk melindungi keluarga dan #AnakHebat. Kesehatan anak adalah prioritas kita bersama! 💪
.
.
.
.
.
#mpox #anaksehat #anaksehatindonesia #monkeypox"
3937,"Posted @withregram • @dinkesdki Hai sobat sehat 👋

Monkeypox atau cacar monyet bisa menyerang siapa saja.

Oleh karena itu, kamu perlu mengetahui beberapa hal mengenai Monkeypox agar bisa terhindar dari penyakit ini.

Apa saja yang perlu diketahui tentang Monkeypox?

Yuk simak pada infografis diatas 😉

#Monkeypox #cegahmonkeypox #GejalaMonkeypox #Infokesehatan #DinasKesehatan #DKIJakarta #SuksesJakartaUntukIndonesia"
647,"Hah? Kasus Monkeypox sudah ditemukan di Indonesia??

Beberapa waktu lalu Kemenkes menyatakan bahwa terdapat satu warga di Jawa Tengah yang masuk dalam kategori Monkeypox atau cacar monyet.

Tetap waspada dan terapkan pola hidup bersih dan sehat ya Sobat untuk mencegah penularan cacar monyet. Jangan lupa share dan save postingan ini untuk menyebarkan kewaspadaan tentang Monkeypox!

#monkeypox #cacarmonyet #jateng #cacar #cacarair #suspekmonkeypox #infosehat #infokesehatan #tipssehat #tipskesehatan #ApotekK24 #K24 #apotek #K24ApoteknyaIndonesia #SobatSehat #K245Agustus22 #K24East5Agustus22"
6107,"Monkeypox? 

Mungkin bunyinya asing, tapi kesannya nyata. Penyakit ini tak seharusnya diambil ringan.

Dalam dunia yang semakin terbuka, risiko penyakit baharu sentiasa ada, dan Monkeypox adalah salah satu daripadanya.

Penting untuk kita faham, Monkeypox bukan sekadar satu lagi virus. Ia boleh menyerang sesiapa sahaja, dengan simptom seperti demam, ruam, dan keletihan yang melampau. 

Namun, yang paling penting ialah kesedaran dan tindakan awal. Jaga kebersihan diri, elak daripada kontak rapat dengan individu yang menunjukkan simptom, dan dapatkan rawatan segera jika rasa ada yang tak kena.

Kesihatan bukan sesuatu yang boleh dikompromi. Menjaga diri bermakna menjaga orang sekeliling kita juga. 

Jadi, ambil langkah berjaga-jaga, sebab perlindungan terbaik adalah pengetahuan dan tindakan awal. Monkeypox mungkin menakutkan, tapi bersama-sama, kita boleh hadapinya dengan tenang dan bijak. 

#PoliklinikMyDr 
#Monkeypox
#PMDForYou"
4671,"WASPADA MPOX CACAR MONYET

Data dari @kemenkes_ri menunjukkan bahwa Kasus konfirmasi Mpox (sebelumnya dikenal dengan Monekypox/Cacar Monyet) di Indonesia hingga 26 Oktober 2023 ditemukan sebanyak 14 kasus.

MPOX adalah penyakit zoonosis (ditularkan dari hewan ke manusia) yang disebabkan virus monkeypox dan juga dapat menyebar dari manusia ke manusia.

Karakteristik dari 14 kasus konfirmasi tersebut adalah laki-laki yang tertular melalui perilaku seks berisiko, dimana 64% berusia 25-29 tahun dan 36% diantaranya berusia 30-39 tahun.

Ketahui lebih lanjut tentang gejala, pencegahan dan penanganan penyakit ini dengan membaca postingan di atas ya!

#Repost @semarangpemkotq

#MPOX
##buswisata
#bussikenang #bussidenok #semarangpemkot
#pemerintahkotasemarang
#bergerakbersama
#semarangsemakinhebat
#banggasemarang
#semarang2023"
7697,"Belakangan ini kita sering mendengar berita tentang penyakit monkeypox (mpox) atau cacar monyet. Yuk mari kenali penyakit ini, simak gambar diatas untuk informasi lebih lanjut. 

#monkeypox #mpox #cacarmonyet #rsmeutia #aceh"
745,"Nah Medfrendz masih tentang Monkeypox, Yang paling berisiko adalah orang yang tinggal dengan atau memiliki riwayat kontak erat (termasuk kontak seksual) dengan seseorang yang terinfeksi monkeypox, atau yang memiliki kontak rutin dengan hewan yang dapat terinfeksi.

#Medfrendz yang pernah mendapatkan vaksin cacar kemungkinan memiliki perlindungan tertentu terhadap infeksi monkeypox. 

Meskipun orang-orang yang pernah menerima vaksin cacar memiliki tingkat perlindungan tertentu terhadap monkeypox, akan tetapi upaya pencegahan harus tetap diterapkan.

#infosehat #healthcorner #monkeypox #cegahmonkeypox #kemenkes #ApotekMedbox #ApotekOnline"
6394,"Sahabat RSKK

Saling peduli dan waspada adalah langkah pertama dalam melawan penyebaran penyakit Monkey Pox🤗

Nih mimin kasih tips cara mencegah penyakit Monkey Pox serta mari saling peduli dan sebarkan informasi penting ini ke orang-orang terdekat☺️

Salam Sehat
RSKK ""Kami Semakin Baik""

Instagram : @rsudkabkediri
Facebook : RSUD Kabupaten Kediri
Youtube : RSKK Channel

Informasi : ( 0354 ) 391718
IGD : ( 0354 ) 391169
Call Center : 0813 3388 7744
Humas/Pengaduan : 0857 0612 7533

#rskkkamisemakinbaik
#rskk #rsudkabkediri #mpox #monkeypox #monkeypoxvirus #mpoxvirus"
3232,"Reposted from @puskesmaspancoran Hai Sobat Jamkesjak 🤗
Hari ini SIJAKA mau memberi informasi tentang Monkeypox atau Cacar Monyet loh.

Apa sih Cacar Monyet atau Monkeypox itu ?

Cacar Monyet atau Monkeypox adalah penyakit yang disebabkan oleh Virus Monkeypox. Penyakit ini merupakan infeksi zoonosis virus, yang dapat menyebar dari hewan ke manusia dan menyebar antar manusia.

Lalu apa sih yang harus dilakukan untuk mendeteksi Monkeypox tersebut ?

Simak penjelasan lengkapnya di atas yuk👆🏻☺️

#monkeypox #cacarmonyet #virusmonkeypox #gejalacacarmonyet #informasikesehatan #JAMKESJAK #JaminanLayananKesehatanJakarta
Reposted from @jamkesjakarta"
2369,"Cacar monyet adalah penyakit zoonosis langka yang disebabkan oleh infeksi virus #monkeypox. Virus cacar monyet termasuk dalam genus Orthopoxvirus dalam famili Poxviridae. Genus Orthopoxvirus juga termasuk virus variola (penyebab cacar), virus vaccinia (digunakan dalam vaksin cacar), dan virus cacar sapi (sumber: http://www.b2p2vrp.litbang.kemkes.go.id)

Yuk #nawaktahes perketat lagi prokes untuk melindungi diri dan orang orang tersayang 🥰"
7418,"‼️ KELOMPOK INI HARUS WASPADA ‼️ 

Semua orang memang berisiko terpapar virus cacar monyet. Tapi ternyata ada beberapa kelompok orang yang rentan tertular virus ini lho. Yuk cek siapa aja Sobat Sehat!

Jangan lupa untuk selalu menjaga daya tahan tubuh  yaa Sobat Sehat agar tetap sehat dan terlindungi dari paparan virus penyebab penyakit. Stay safe & healthy!

Berbagai produk kesehatan yang Anda butuhkan tersedia di Apotek K-24 & K24Klik. KOMPLIT 24 jam💛 💚

#cacarmonyet #monkeypox #mpox #infokesehatan #tipskesehatan #ApotekK24 #K24ApoteknyaIndonesia #SobatSehat #K244September24 #K24Central4September24"
5276,"Sobat Sehat, adanya kasus konfirmasi Mpox atau monkeypox di Indonesia perlu kita waspadai.  Mpox adalah penyakit yang disebabkan oleh Virus Mpox yang ditularkan dari penderita melalui kontak langsung dengan ruam bernanah di kulit penderita termasuk saat berhubungan seksual.

Yuk waspadai dan cegah penyebaran Mpox dengan menghindari bersentuhan dengan penderita serta pelajari info tentang apa saja gejalanya, cara penularan & pencegahan Mpox berikut ini.

Jangan lupa share info ini ke teman, keluarga, tetangga dan masyarakat lainnya agar terhindar dari Mpox.

#Promkesbojonegoro
#Dinkesbojonegoro
#PHBS
#Mpox
#monkeypox"
2935,"Sebagian penyebab sakit perut pada anak umumnya tidak berbahaya dan bisa disembuhkan dengan pengobatan di rumah. Namun, jika anak mengalami sakit perut hingga berhari-hari atau disertai gejala lainnya, kondisi ini perlu diwaspadai dan perlu ditangani secepatnya. Tapi, jangan panik yaa ketika si kecil sakit perut untuk tetap tenang dan melakukan pertolongan pertama pada anak.

Tetap setia dan selalu pantengin terus ig @rsuherminasamarinda
Karena akan selalu ada info menarik serta penting bagi Sahabat Hermina✨☺️
Jaga kesehatan, selalu utamakan keselamatan dimanapun anda berada.
Sehat selalu bersama Hermina.

Untuk Cek Jadwal dan Membuat janji dengan Dokter Anda di RS Hermina Samarinda, anda dapat dengan mudah melakukannya yaitu melalui :

- Website Kami (link ada di Bio )
- Mobile App : Halo Hermina
- Call Center 1500 488
- Halodoc

#HerminaHospitals
#Herminasamarinda
#tenangdihermina
#Herminalebihdekat
#cacarmonyet
#monkeypox
#RumahSakitTraumaCenter
#RSTraumaCenter
#rumahsakitsamarinda
#samarinda
#bubuhansamarinda
#kesehatananak
#sakitperut
#anaksakitperut"
2638,"Sebuah unggahan di Facebook pada (2/8/2022) menyebutkan bahwa cacar monyet dapat ditularkan lewat gigitan nyamuk, viral!

“Tidak ada data laboratorium dan epidemiologi yang mendukung penularan cacar monyet lewat gigitan nyamuk, dan banyak data yang menyangkal diagnosis itu, dan mendukung kontak langsung” kata Ali Khan ahli epidemiologi.

#Suarasurabaya #Jagaimunkita #SSemenit #monkeypox #hoax"
522,"Reposted from @indonesiabaik.id Hai SohIB!

Pada tanggal 23 Juli 2022, WHO telah menetapkan status Monkeypox (virus cacar monyet) sebagai darurat kesehatan global/Public Health Emergency of International Concern (PHEIC).

Lalu, apakah penyakit cacar monyet ini menular? Yuk, simak informasinya, SohIB!

Tetap waspada dan selalu jaga kesehatan serta kebersihan ya, SohIB!

-------------
Indonesiabaik.id dapat diakses melalui:
- Website : indonesiabaik.id
- Instagram : instagram.com/indonesiabaik.id
- Twitter : twitter.com/IndonesiaBaikId
- Facebook : facebook.com/IndonesiaBaikId
- YouTube : youtube.com/IndonesiaBaikID
- TikTok : www.tiktok.com/@indonesiabaik.id
- Line Official Account : @tsx0642m
- WhatsApp : (+62) 818-180-128
- E-mail : indonesiabaik@kominfo.go.id
-------------

@kemenkes_ri @whoindonesia
#IndonesiaBaik #YangMudaSukaData #ProgramPemerintah #Infografis #CacarMonyet #MonkeyPox #Kesehatan #KominfoNewsroom"
7823,"🦠 Kenali Mitos & Fakta tentang MONKEYPOX 🦠
Jangan mudah terpengaruh dengan mitos! Ketahui fakta sebenar supaya kita semua lebih bersedia dan selamat. 😊

✅ Monkeypox boleh menjangkiti sesiapa sahaja melalui kontak langsung
✅ Monkeypox mirip cacar
✅ Monkeypox merebak perlahan dan risiko rendah, namun perlindungan masih penting!

Sebarkan maklumat yang betul dan lindungi diri anda! 💪

#PoliklinikAnNur #Monkeypox #MitosVsFakta #KesihatanAwam #LindungiDiri #KesihatanAnda"
5562,"Pihak berwenang di Argentina telah mengkarantina sebuah kapal kargo di Sungai Parana atas dugaan kasus mpox atau cacar monyet di dalamnya pada Selasa (20/8/2024) waktu setempat.

Kapal yang berada di dekat pelabuhan Rosario itu memberitahu pihak berwenang bahwa salah satu awak kapal mereka menunjukan lesi kulit seperti kista di beberapa bagian badannya.

Menurut laporan The Guardian, awak kapal yang diduga terpapar virus yang sebelumnya dikenal sebagai monkeypox itu telah diisolasi dan protokol darurat kesehatan masyarakat telah diaktifkan.

Kapal yang sedang menuju pelabuhan San Lorenzo di provinsi Santa Fe Argentina itu terpaksa harus menjatuhkan jangkarnya di tengah sungai. Kapal kargo berbendera Liberia itu berlayar dari Santos, Brasil untuk mengambil kargo kedelai di Argentina.

Organisasi Kesehatan Dunia atau WHO pada pekan lalu mengumumkan mpox sebagai keadaan darurat kesehatan masyarakat global untuk kedua kalinya setelah adanya laporan bahwa virus tersebut menyebar dengan cepat di Afrika.

(Selengkapnya klik link di bio)

----------

Baca Berita Terpercaya lainnya di www.suaramerdeka.com atau klik link yang ada di bio.

#suaramerdeka #suaramerdekacom #promedia #mpox #monkeypox #virus #terpapar #awakkapal #argentina #karantina"
5163,"Mengingat penyakit cacar monyet sudah masuk ke Batam dengan satu pasien diisolasi di RSUD Embung Fatimah Batam, maka penting mengetahui gejala serangan penyakit yang disebabkan virus ini.

Kepala Dinas Kesehatan Kota Batam (Dinkes) dr Didi Kusmarjadi mengungkapkan, gejala cacar monyet akan timbul 5-21 hari setelah penderita terinfeksi virus monkeypox.

Gejala awal dapat berlangsung selama 1-3 hari atau lebih. Setelah itu akan muncul gejala seperti ruam pada wajah yang akan menyebar ke bagian tubuh lainnya seperti lengan dan tungkai. Ruam tersebut akan muncul seperti bintil yang berisi cairan nanah, lalu pecah dan berkerak, kemudian akan menyebabkan borok di permukaan kulit.

Baca Selengkapnya di www.batampos.co.id

#monkeypox #cacarmonyet #hidupsehat #dinkes #batampos #batam"
1284,"Waspada penyakit Cacar Monyet!

Monkeypox merupakan virus yang termasuk dalam kelompok Orthopoxvirus. Virus ini awalnya berasal dari hewan ke manusia melalui cakaran atau gigitan hewan, seperti monyet, tupai, atau tikus, yang terinfeksi virus monkeypox. 

Meskipun sumber utama virusnya adalah dari hewan, cacar monyet adalah penyakit menular dari orang ke orang. 

#rsemc #emchealthcare #wecarewithpassion #cacarmonyet #monkeypox"
2470,"WHO secara resmi menetapkan Monkeypox sebagai KKMMD (Kedaruratan Kesehatan Masyarakat yang Meresahkan Dunia) pada 23 Juli 2022 seiring peningkatan jumlah kasus dan penyebaran yang kian meluas.

Saat ini, sudah terkonfirmasi virus tersebut masuk ke Indonesia. Dan Kemenkes telah melakukan pemantauan intensif di seluruh pintu masuk Indonesia.

Inilah yang perlu anda ketahui seputar cacar monyet agar terhindar dari penularan virusnya dan tetap waspada.

#monkeypox 
#cacarmonyet 
#yakespertamina"
7805,"Hello MedHeroes! Beberapa Waktu lalu WHO menetapkan Mpox atau Cacar monyet sebagai kedaruratan kesehatan masyarakat yang menjadi perhatian global. Yuk, kenali apa itu Mpox, gejalanya, cara penularannya, dan cara mencegahnya.

Referensi:
Branda F, Romano C, Ciccozzi M, Giovanetti M, Scarpa F, Ciccozzi A, Maruotti A. Mpox: An Overview of Pathogenesis, Diagnosis, and Public Health Implications. 
Cowen EW, Tkaczyk ER, Norton SA, Leslie KS. Mpox-A Rapidly Evolving Disease.
https://sehatnegeriku.kemkes.go.id/baca/rilis-media/20240818/1546252/88-kasus-konfirmasi-mpox-di-indonesia-seksual-sesama-jenis-jadi-salah-satu-penyebab/
https://www.who.int/news-room/fact-sheets/detail/mpox
https://www.cdc.gov/poxvirus/mpox/about/index.html

#UKMPPD2024 #OSCE2024 #BimbelKedokteran #LULUSUKMPPD2024 #Mpox #Monkeypox #Cacarmonyet"
4912,"Cacar monyet atau monkeypox saat ini masih menghantui masyarakat Indonesia. Karenanya Sobat Sehat harus waspada dan mengetahui gejala-gejalanya agar bisa melakukan deteksi dan upaya pencegahan sedini mungkin. Swipe untuk melihat gejalanya yaa Sobat!

Berbagai produk kesehatan yang Anda butuhkan tersedia di Apotek K-24 & K24Klik. Jangan ragu untuk melakukan konsultasi dengan apoteker kami ya Sobat!

#cacarmonyet #monkeypox #mpox #infosehat #infokesehatan #SobatSehat #ApotekK24 #K24ApoteknyaIndonesia #K249November23 #K24East9November23"
4598,"Halo Pramitians!!

Kalian tau ga sii bahaya nya virus Monkeypox atau cacar monyet ini? 🤔 Virus Monkeypox atau cacar monyet ini dapat menyebabkan komplikasi serius seperti pneumonia dan kematian lohh, bahayaa bangett kann.. dan kalian tau ga sih kalau Monkeypox ini atau cacar monyet sudah sampai Tanggerang Selatan lohh, nahh oleh karena ituu pramitianss juga harus hati hatii yaa dan jaga kesehatan!!

#SMAPramita #SekolahPramita #OSISSMAPramita #MajalahDigital #MonkeyPox #OSIS #OrganisasiSekolah #AnakSMA
#KeepUpdate #KeepLearning #KeepLeading #KeepDisciplined"
7209,"Sejak tahun 2022, Kementerian Kesehatan mencatat sudah ada 88 kasus cacar monyet dengan status seluruh penderita sembuh dan tidak ada pasien anak-anak. Menteri Kesehatan RI, Budi Gunadi Sadikin, menyatakan bahwa pemerintah akan mendatangkan 1.600 dosis vaksin Mpox dari Denmark untuk didistribusikan kepada tenaga medis garda terdepan serta kelompok berisiko tinggi.
#biogreenscience #bionadboost #mpox #cacarmonyet #monkeypox"
1714,"Masih bingung membedakan cacar monyet dengan cacar air? Yuk simak postingan ini!

Meskipun sekilas keduanya tampak mirip, namun cacar monyet dan cacar air merupakan dua jenis penyakit yang berbeda lho.
Cek info selengkapnya ya Sobat Sehat! Jangan lupa save postingan ini dan share ke orang-orang di sekitarmu agar lebih aware dengan penyakit Monkeypox atau cacar monyet.

Selalu jaga kesehatan dan disiplin dengan prokes ya Sobat Sehat! Pakai masker, rajin cuci tangan dengan air dan sabun atau gunakan hand sanitizer, jaga jarak, hindari kerumunan, dan kurangi mobilitas.
Berbagai produk kesehatan yang Anda butuhkan tersedia di Apotek K-24 & K24Klik. Lengkap 24 jam!

#monkeypox #cacarmonyet #cacar #cacarair #suspekmonkeypox #infosehat #infokesehatan #tipssehat #tipskesehatan #ApotekK24 #K24 #apotek #K24ApoteknyaIndonesia #SobatSehat #K2423Agustus22 #K24Central23Agustus22"
5684,"Hi, #GoodPeople, kasus cacar monyet di Indonesia sudah mencapai 88 kasus. Di Afrika jumlahnya lebih banyak, sampai WHO (@who) menyatakan cacar monyet sebagai keadaan darurat Kesehatan masyarakat.

Salah satu penyebab menularnya virus ini adalah terjadinya hubungan seksual sesame jenis, terutama pada pria. Jika tidak segera diatasi, ini bisa menjadi wabah.

Jika muncul gejala di kulitmu yang dicurigai sebagai cacar monyet, segera periksakan ke dokter ya.

Ingat SEHAT, Ingat AXA
Ingat AXA, Ingat Saya

Salam,
Hotma Dion Simamora
bit.ly/Solusi_Perlindungan

#Kulit #CacarMonyet #MonkeyPox #ArtikelKesehatan #AsuransiKesehatan #MaestroOptimaCare #Asuransi #Solusi #Proteksi #Perlindungan #PahamiPerlindunganmu #MariBerasuransi #OpenToWork #Procurement #HRD #Vendor #Karyawan #Sales #Marketing #IbuRumahTangga #AsuransiBukanObjekPajak #KnowYouCan"
7230,"Hai sobat sehat 👋

Mpox merupakan penyakit yang disebabkan oleh virus monkeypox yang dapat menular dari hewan ke manusia atau dari manusia ke manusia.

Apa saja gejala mpox?

Yuk simak informasi lengkapnya pada infografis di atas 😉

Sumber: @dinkesdki

#Monkeypox #cegahmpox #carapenularanmpox"
140,"Savdhan rahe satark rahe 👍
#jharkhand #jharkhandi #jharkhand_insta #jharkhandnews #monkeypox #monkeypoxvirus #monkeypoxoutbreak #monkeypoxmemes #monkeypoxoutbreak2022 #savdhanrahe #savdhanindiamemes #savdhanrahesatarkrahe"
6915,"Cacar monyet bisa menyebar dengan cepat. Tapi, memangnya gimana sih cara penyebarannya?
Lakukan beberapa tips berikut agar Anda dan keluarga tetap aman terlindungi!

Jangan lupa jaga daya tahan tubuh agar terhindar dari berbagai macam penyakit yaa Sobat Sehat! Berbagai produk kesehatan yang Anda butuhkan tersedia di Apotek K-24 & K24Klik. Komplit 24 jam 💛💚💛💚

#monkeypox #cacarmonyet #mpox #infokesehatan #tipskesehatan #ApotekK24 #K24ApoteknyaIndonesia #SobatSehat #K2430Agustus24 #k24west30agustus24"
6354,"WASPADA! Monkeypox semakin meresahkan!

Belakangan ini penyakit Monkeypox sedang heboh diperbincangkan. Tentunya hal ini membuat masyarakat menjadi resah. Swipe untuk melihat informasi selengkapnya yaa Sobat Sehat!

Jika Anda merasakan gejala yang mengarah ke penyakit cacar monyet, jangan ragu untuk melakukan pemeriksaan ke dokter ya Sobat Sehat agar bisa mendapatkan penanganan yang tepat. Stay safe 💛💚💛💚

#cacarmonyet #cacar #monkeypox #mpox #infokesehatan #tipskesehatan #ApotekK24 #K24ApoteknyaIndonesia #SobatSehat #K2429Agustus24 #K24West29Agustus24"
373,"Waspada Virus MonkeyPox

#idicabangmerauke #idi #ikatandokterindonesia #monkeypox"
7988,"‼️ KELOMPOK INI HARUS WASPADA ‼️ 

Semua orang memang berisiko terpapar virus cacar monyet. Tapi ternyata ada beberapa kelompok orang yang rentan tertular virus ini lho. Yuk cek siapa aja Sobat Sehat!

Jangan lupa untuk selalu menjaga daya tahan tubuh  yaa Sobat Sehat agar tetap sehat dan terlindungi dari paparan virus penyebab penyakit. Stay safe & healthy!

Berbagai produk kesehatan yang Anda butuhkan tersedia di Apotek K-24 & K24Klik. KOMPLIT 24 jam💛 💚

#cacarmonyet #monkeypox #mpox #infokesehatan #tipskesehatan #ApotekK24 #K24ApoteknyaIndonesia #SobatSehat #K244September24 #K24East4September24"
2624,"*PENULARAN VIRUS CACAR MONYET KEMUNGKINAN DAPAT TERJADI MELALUI UDARA*

Perkembangan kasus virus cacar monyet di dunia kian meningkat. Menurut health.detik.com, biasanya penularan virus cacar monyet terjadi melalui infeksi, luka, atau cairan dari tubuh, namun tidak menutup kemungkinan dapat terjadi melalui udara. Terdapat beberapa upaya pencegahan agar infeksi virus cacar monyet tak terjadi. Cara mencegahnya, dilansir dari cnnindonesia.com, dapat dilakukan dengan menjaga kebersihan tangan, pakai masker, dan terapkan pola hidup sehat.

Penelitian menyatakan air hidrogen bermanfaat membantu mencegah perkembangan virus. Penelitian dari Jurnal SOJ Microbiology & Infectious (2017) mengungkapkan bahwa molekul hidrogen dapat secara signifikan membantu menurunkan ekspresi gen terkait peradangan dan membantu melindungi dari infeksi virus. 

Esteo Hydro-Gen Mist menghasilkan air hidrogen dengan kadar molekul hidrogen yang tinggi hingga 1000 ppb (part per bilion). Esteo Hydro-Gen Mist dapat digunakan untuk sebagai alat sterilisasi virus, kuman, dan bakteri. Rasakan manfaat air hidrogen dari Esteo Hydro-Gen Mist untuk membantu mencegah perkembangan virus di tangan, kulit, maupun benda-benda di sekitar Anda.

#esteohydrogenmist #esteo #testimoniesteohydrogenmist #testiesteo #lwg #cacarmonyet #monkeypox"
2475,"Kalau orang terpapar COVID-19 mungkin sudah biasa. Kali ini, seorang pria di Italia apes karena terpapar Cacar Monyet, COVID-19 dan HIV dalam waktu bersamaan. 

Peneliti di University of Catania mengungkapkan, pria berusia 36 tahun tersebut dinyatakan positif dari ketiga penyakit tersebut usai melakukan perjalanan ke Spanyol awal tahun ini, melansir The Sun, Kamis (25/8/2022).

Pria tersebut menghabiskan lima hari di Spanyol pada 16-20 Juni 2022. Ia juga mengaku melakukan hubungan seks dengan sesama jenis tanpa kondom. Setelah kembali ke Italia, ia mengalami demam, sakit tenggorokan, kelelahan, sakit kepala dan pembesaran kelenjar getah bening. 

Ia pun dinyatakan positif Cacar Monyet setelah mengalami ruam di lengan kiri dan tubuh melepuh. Ia juga diskrining untuk beberapa IMS dan dinyatakan positif HIV.

-

Selengkapnya kunjungi website dengan klik link di bio atau download aplikasi di AppStore dan Google Play Store.

#inilahViral #viral #pria #italia #italy #COVID19 #COVID_19 #HIV #cacarmonyet #monkeypox #penyakit #penyakitmenular #inilahcom #titiktengah #titikcerah"
2699,"Hallo Sobat Sehat! 

Untuk pertama kalinya, Liga baseball Indonesia terselenggara pada 22 hingga 28 Agustus 2022. Liga ini akan menjadi salah satu metode pemantauan PB Perbasasi dalam membentuk tim nasional baseball Indonesia. Kompetisi dengan format liga sangat dibutuhkan guna meningkatkan jam terbang atlet sehingga bisa menghasilkan timnas yang tangguh. 

Keenam tim peserta Liga Baseball Softball Indonesia 2022 dihuni 80 persen atlet timnas Indonesia. Menariknya para pemain terbaik liga ini akan dipilih masuk Tim Indonesia All Stars. Tim Indonesia All Stars selanjutnya berlaga memperebutkan Piala KONI yang digelar tanggal 27-28 Agustus 2022. Tim Indonesia All Stars akan bertanding melawan Singapura, Malaysia dan Korea Selatan.

Tak hanya bertujuan membentuk Timnas yang tangguh, pemain-pemain terbaik Indonesia juga dipantau oleh Liga Baseball Jepang dan Korea untuk kemudian berlaga di sana. Dengan demikian regenerasi timnas bisa lancar.

Dalam pelaksanaan Liga Baseball ini, Caretaker Home Care dipercaya untuk menjadi tim medis yang memastikan liga berjalan dengan baik dan lancar. Caretaker terlibat sejak awal dengan memastikan setiap peserta telah diswab dan memastikan kesehatan seluruh tim sebelum pertandingan. Caretaker juga mendirikan medis di pintu masuk penonton untuk kebutuhan seluruh penonton yang membutuhkan penanganan kesehatan. Selain itu Caretaker juga standby di lapangan pada saat pertandingan untuk memastikan tersedianya pertolongan pertama ketika ada cedera dalam setiap pertandingan.

Untuk memastikan berjalannya pertandingan dengan baik dan tertanganinya sisi medis, Caretaker juga menurunkan tim paramedis, perawat dan fisioterapi yang memang sangat diperlukan dalam pertandingan olahraga.

Caretaker Home Care
Sehat Sembuh di Rumah 

#caretaker #homecare #perawat #dokter #fisioterapi #psikolog #perawatan #rawatjalan #rawatinap #covid19 #monkeypox #cacarmonyet #wabah"
